row	alpha	branch	matrix
2132	(w^w+w)	T2	(0,0,0)(1,1,1)(2,1,1)(3,0,0)(2,1,0)(3,2,1)
2133	(w^w+w2)	T2	(0,0,0)(1,1,1)(2,1,1)(3,0,0)(2,1,0)(3,2,1)(3,2,0)(4,3,1)
2134	(w^w+w^2)	T2	(0,0,0)(1,1,1)(2,1,1)(3,0,0)(2,1,0)(3,2,1)(4,2,1)
2135	(w^w+w^3)	T2	(0,0,0)(1,1,1)(2,1,1)(3,0,0)(2,1,0)(3,2,1)(4,2,1)(4,2,1)
2136	(w^w*2)	T0	(0,0,0)(1,1,1)(2,1,1)(3,0,0)(2,1,0)(3,2,1)(4,2,1)(5,0,0)
2137	(w^w*3)	T0	(0,0,0)(1,1,1)(2,1,1)(3,0,0)(2,1,0)(3,2,1)(4,2,1)(5,0,0)(4,2,0)(5,3,1)(6,3,1)(7,0,0)
2138	(w^(w+1))	T2	(0,0,0)(1,1,1)(2,1,1)(3,0,0)(2,1,1)
2139	(w^(w+1)+1)	T1	(0,0,0)(1,1,1)(2,1,1)(3,0,0)(2,1,1)(2,1,0)(3,2,0)
2140	(w^(w+1)+w^w)	T0	(0,0,0)(1,1,1)(2,1,1)(3,0,0)(2,1,1)(2,1,0)(3,2,1)(4,2,1)(5,0,0)
2141	(w^(w+1)*2)	T2	(0,0,0)(1,1,1)(2,1,1)(3,0,0)(2,1,1)(2,1,0)(3,2,1)(4,2,1)(5,0,0)(4,2,1)
2142	(w^(w+2))	T2	(0,0,0)(1,1,1)(2,1,1)(3,0,0)(2,1,1)(2,1,1)
2143	(w^(w+3))	T2	(0,0,0)(1,1,1)(2,1,1)(3,0,0)(2,1,1)(2,1,1)(2,1,1)
2144	(w^(w2)	T0	(0,0,0)(1,1,1)(2,1,1)(3,0,0)(2,1,1)(3,0,0)
2145	(w^(w3))	T0	(0,0,0)(1,1,1)(2,1,1)(3,0,0)(2,1,1)(3,0,0)(2,1,1)(3,0,0)
2146	(w^w^2)	T0	(0,0,0)(1,1,1)(2,1,1)(3,0,0)(3,0,0)
2147	(w^w^3)	T0	(0,0,0)(1,1,1)(2,1,1)(3,0,0)(3,0,0)(3,0,0)
2148	(w^w^w)	T0	(0,0,0)(1,1,1)(2,1,1)(3,0,0)(4,0,0)
2149	(w^w^w^2)	T0	(0,0,0)(1,1,1)(2,1,1)(3,0,0)(4,0,0)(4,0,0)
2150	(w^w^w^w)	T0	(0,0,0)(1,1,1)(2,1,1)(3,0,0)(4,0,0)(5,0,0)
2151	(w^w^w^w^w)	T0	(0,0,0)(1,1,1)(2,1,1)(3,0,0)(4,0,0)(5,0,0)(6,0,0)
2152	psi(W)	T1	(0,0,0)(1,1,1)(2,1,1)(3,0,0)(4,1,0)
2153	(psi(W)+1)	T1	(0,0,0)(1,1,1)(2,1,1)(3,0,0)(4,1,0)(2,1,0)(3,2,0)
2154	(psi(W)+w)	T2	(0,0,0)(1,1,1)(2,1,1)(3,0,0)(4,1,0)(2,1,0)(3,2,1)
2155	(psi(W)+w^2)	T2	(0,0,0)(1,1,1)(2,1,1)(3,0,0)(4,1,0)(2,1,0)(3,2,1)(4,2,1)
2156	(psi(W)+w^w)	T0	(0,0,0)(1,1,1)(2,1,1)(3,0,0)(4,1,0)(2,1,0)(3,2,1)(4,2,1)(5,0,0)
2157	(psi(W)*2)	T1	(0,0,0)(1,1,1)(2,1,1)(3,0,0)(4,1,0)(2,1,0)(3,2,1)(4,2,1)(5,0,0)(6,1,0)
2158	(psi(W)*w)	T2	(0,0,0)(1,1,1)(2,1,1)(3,0,0)(4,1,0)(2,1,1)
2159	(psi(W)*w^w)	T0	(0,0,0)(1,1,1)(2,1,1)(3,0,0)(4,1,0)(2,1,1)(3,0,0)
2160	(psi(W)^2)	T1	(0,0,0)(1,1,1)(2,1,1)(3,0,0)(4,1,0)(2,1,1)(3,0,0)(4,1,0)
2161	(psi(W)^w)	T0	(0,0,0)(1,1,1)(2,1,1)(3,0,0)(4,1,0)(3,0,0)
2162	(psi(W)^psi(W))	T1	(0,0,0)(1,1,1)(2,1,1)(3,0,0)(4,1,0)(3,0,0)(4,1,0)
2163	(psi(W)^psi(W)^w)	T0	(0,0,0)(1,1,1)(2,1,1)(3,0,0)(4,1,0)(4,0,0)
2164	(psi(W)^psi(W)^psi(W))	T1	(0,0,0)(1,1,1)(2,1,1)(3,0,0)(4,1,0)(4,0,0)(5,1,0)
2165	psi(W2)	T1	(0,0,0)(1,1,1)(2,1,1)(3,0,0)(4,1,0)(4,1,0)
2166	psi(W3)	T1	(0,0,0)(1,1,1)(2,1,1)(3,0,0)(4,1,0)(4,1,0)(4,1,0)
2167	psi(W*w)	T0	(0,0,0)(1,1,1)(2,1,1)(3,0,0)(4,1,0)(5,0,0)
2168	psi(W*psi(W))	T1	(0,0,0)(1,1,1)(2,1,1)(3,0,0)(4,1,0)(5,0,0)(6,1,0)
2169	psi(W^2)	T1	(0,0,0)(1,1,1)(2,1,1)(3,0,0)(4,1,0)(5,1,0)
2170	psi(W^3)	T1	(0,0,0)(1,1,1)(2,1,1)(3,0,0)(4,1,0)(5,1,0)(5,1,0)
2171	psi(W^w)	T0	(0,0,0)(1,1,1)(2,1,1)(3,0,0)(4,1,0)(5,1,0)(6,0,0)
2172	psi(W^W)	T1	(0,0,0)(1,1,1)(2,1,1)(3,0,0)(4,1,0)(5,1,0)(6,1,0)
2173	psi(W^W^W)	T1	(0,0,0)(1,1,1)(2,1,1)(3,0,0)(4,1,0)(5,1,0)(6,1,0)(7,1,0)
2174	psi(W_2)	T1	(0,0,0)(1,1,1)(2,1,1)(3,0,0)(4,1,0)(5,2,0)
2175	psi(W_2^2)	T1	(0,0,0)(1,1,1)(2,1,1)(3,0,0)(4,1,0)(5,2,0)(6,2,0)
2176	psi(W_3)	T1	(0,0,0)(1,1,1)(2,1,1)(3,0,0)(4,1,0)(5,2,0)(6,3,0)
2177	psi(W_w)	T2	(0,0,0)(1,1,1)(2,1,1)(3,0,0)(4,1,1)
2178	psi(W_w*2)	T2	(0,0,0)(1,1,1)(2,1,1)(3,0,0)(4,1,1)(4,1,1)
2179	psi(W_w*W)	T1	(0,0,0)(1,1,1)(2,1,1)(3,0,0)(4,1,1)(5,1,0)
2180	psi(W_w^2)	T2	(0,0,0)(1,1,1)(2,1,1)(3,0,0)(4,1,1)(5,1,0)(4,1,1)
2181	psi(W_w^W_w)	T2	(0,0,0)(1,1,1)(2,1,1)(3,0,0)(4,1,1)(5,1,0)(6,1,0)(4,1,1)
2182	psi(W_(w+1))	T1	(0,0,0)(1,1,1)(2,1,1)(3,0,0)(4,1,1)(5,1,0)(6,2,0)
2183	psi(W_(w+2))	T1	(0,0,0)(1,1,1)(2,1,1)(3,0,0)(4,1,1)(5,1,0)(6,2,0)(7,3,0)
2184	psi(W_(w2))	T2	(0,0,0)(1,1,1)(2,1,1)(3,0,0)(4,1,1)(5,1,0)(6,2,1)
2185	psi(W_(w3))	T2	(0,0,0)(1,1,1)(2,1,1)(3,0,0)(4,1,1)(5,1,0)(6,2,1)(7,2,0)(8,3,1)
2186	psi(W_(w^2))	T2	(0,0,0)(1,1,1)(2,1,1)(3,0,0)(4,1,1)(5,1,1)
2187	psi(W_(w^3))	T2	(0,0,0)(1,1,1)(2,1,1)(3,0,0)(4,1,1)(5,1,1)(5,1,1)
2188	psi(W_(w^w))	T0	(0,0,0)(1,1,1)(2,1,1)(3,0,0)(4,1,1)(5,1,1)(6,0,0)
2189	psi(W_psi(W))	T1	(0,0,0)(1,1,1)(2,1,1)(3,0,0)(4,1,1)(5,1,1)(6,0,0)(7,1,0)
2190	psi(W_psi(W_w))	T2	(0,0,0)(1,1,1)(2,1,1)(3,0,0)(4,1,1)(5,1,1)(6,0,0)(7,1,1)
2191	psi(W_psi(W_(w^2)))	T2	(0,0,0)(1,1,1)(2,1,1)(3,0,0)(4,1,1)(5,1,1)(6,0,0)(7,1,1)(8,1,1)
2192	psi(W_psi(W_psi(W_w)))	T2	(0,0,0)(1,1,1)(2,1,1)(3,0,0)(4,1,1)(5,1,1)(6,0,0)(7,1,1)(8,1,1)(9,0,0)(10,1,1)
2193	W	T1	(0,0,0)(1,1,1)(2,1,1)(3,1,0)
2328	(W+1)	T1	(0,0,0)(1,1,1)(2,1,1)(3,1,0)(1,1,0)(2,2,1)(3,2,1)(4,1,0)(3,2,0)(4,3,0)
2362	(W+2)	T1	(0,0,0)(1,1,1)(2,1,1)(3,1,0)(1,1,0)(2,2,1)(3,2,1)(4,1,0)(3,2,0)(4,3,0)(5,4,0)
2370	(W+3)	T1	(0,0,0)(1,1,1)(2,1,1)(3,1,0)(1,1,0)(2,2,1)(3,2,1)(4,1,0)(3,2,0)(4,3,0)(5,4,0)(6,5,0)
2371	(W+4)	T1	(0,0,0)(1,1,1)(2,1,1)(3,1,0)(1,1,0)(2,2,1)(3,2,1)(4,1,0)(3,2,0)(4,3,0)(5,4,0)(6,5,0)(7,6,0)
2372	(W+w)	T2	(0,0,0)(1,1,1)(2,1,1)(3,1,0)(1,1,0)(2,2,1)(3,2,1)(4,1,0)(3,2,0)(4,3,1)
2390	(W+w+1)	T1	(0,0,0)(1,1,1)(2,1,1)(3,1,0)(1,1,0)(2,2,1)(3,2,1)(4,1,0)(3,2,0)(4,3,1)(5,3,0)(6,4,0)
2391	(W+w+2)	T1	(0,0,0)(1,1,1)(2,1,1)(3,1,0)(1,1,0)(2,2,1)(3,2,1)(4,1,0)(3,2,0)(4,3,1)(5,3,0)(6,4,0)(7,5,0)
2392	(W+w2)	T2	(0,0,0)(1,1,1)(2,1,1)(3,1,0)(1,1,0)(2,2,1)(3,2,1)(4,1,0)(3,2,0)(4,3,1)(5,3,0)(6,4,1)
2393	(W+w3)	T2	(0,0,0)(1,1,1)(2,1,1)(3,1,0)(1,1,0)(2,2,1)(3,2,1)(4,1,0)(3,2,0)(4,3,1)(5,3,0)(6,4,1)(7,4,0)(8,5,1)
2394	(W+w^2)	T2	(0,0,0)(1,1,1)(2,1,1)(3,1,0)(1,1,0)(2,2,1)(3,2,1)(4,1,0)(3,2,0)(4,3,1)(5,3,1)
2397	(W+w^2+1)	T1	(0,0,0)(1,1,1)(2,1,1)(3,1,0)(1,1,0)(2,2,1)(3,2,1)(4,1,0)(3,2,0)(4,3,1)(5,3,1)(5,3,0)(6,4,0)
2398	(W+w^2+w)	T2	(0,0,0)(1,1,1)(2,1,1)(3,1,0)(1,1,0)(2,2,1)(3,2,1)(4,1,0)(3,2,0)(4,3,1)(5,3,1)(5,3,0)(6,4,1)
2399	(W+w^2*2)	T2	(0,0,0)(1,1,1)(2,1,1)(3,1,0)(1,1,0)(2,2,1)(3,2,1)(4,1,0)(3,2,0)(4,3,1)(5,3,1)(5,3,0)(6,4,1)(7,4,1)
2400	(W+w^3)	T2	(0,0,0)(1,1,1)(2,1,1)(3,1,0)(1,1,0)(2,2,1)(3,2,1)(4,1,0)(3,2,0)(4,3,1)(5,3,1)(5,3,1)
2401	(W+w^4)	T2	(0,0,0)(1,1,1)(2,1,1)(3,1,0)(1,1,0)(2,2,1)(3,2,1)(4,1,0)(3,2,0)(4,3,1)(5,3,1)(5,3,1)(5,3,1)
