row	matrix	label_orig	label_norm	fix
129	(0,0)(1,1)(2,1)(2,1)(2,0)(3,1)(4,1)(4,1)	phi(3,phi(3,0)) = psi(W^3*phi(3,0))	psi(W^3*phi(3,0))	alias2
130	(0,0)(1,1)(2,1)(2,1)(2,1)	phi(4,0) = psi(W^4) = psi(psi_1(W3))	psi(W^4)	alias3
131	(0,0)(1,1)(2,1)(2,1)(2,1)(2,1)	phi(5,0) = psi(W^5) = psi(psi_1(W4))	psi(W^5)	alias3
132	(0,0)(1,1)(2,1)(3,0)	phi(w,0) = psi(W^w) = psi(psi_1(W*w))	psi(W^w)	alias3
133	(0,0)(1,1)(2,1)(3,0)(1,1)	e(phi(w,0)+1) = psi(W^w+W)	psi(W^w+W)	alias2
134	(0,0)(1,1)(2,1)(3,0)(1,1)(2,1)	z(phi(w,0)+1) = psi(W^w+W^2)	psi(W^w+W^2)	alias2
135	(0,0)(1,1)(2,1)(3,0)(1,1)(2,1)(2,1)	phi(3,phi(w,0)+1) = psi(W^w+W^3)	psi(W^w+W^3)	alias2
136	(0,0)(1,1)(2,1)(3,0)(1,1)(2,1)(3,0)	phi(w,1) = psi(W^w*2)	psi(W^w*2)	alias2
137	(0,0)(1,1)(2,1)(3,0)(2,0)	phi(w,w) = psi(W^w*w) = psi(psi_1(W*w+1))	psi(W^w*w)	alias3
138	(0,0)(1,1)(2,1)(3,0)(2,0)(3,1)(4,1)(5,0)	phi(w,phi(w,0)) = psi(W^w*phi(w,0))	psi(W^w*phi(w,0))	alias2
139	(0,0)(1,1)(2,1)(3,0)(2,1)	phi(w+1,0) = psi(W^(w+1)) = psi(psi_1(W*w+W))	psi(W^(w+1))	alias3
140	(0,0)(1,1)(2,1)(3,0)(2,1)(3,0)	phi(w2,0) = psi(W^(w2)) = psi(psi_1(W*w2))	psi(W^(w2))	alias3
141	(0,0)(1,1)(2,1)(3,0)(3,0)	phi(w^2,0) = psi(W^w^2) = psi(psi_1(W*w^2))	psi(W^w^2)	alias3
142	(0,0)(1,1)(2,1)(3,0)(4,0)	phi(w^w,0) = psi(W^w^w) = psi(psi_1(W*w^w))	psi(W^w^w)	alias3
143	(0,0)(1,1)(2,1)(3,0)(4,1)	phi(e0,0) = psi(W^e0) = psi(psi_1(W*e0))	psi(W^e0)	alias3
144	(0,0)(1,1)(2,1)(3,0)(4,1)(5,1)	phi(z0,0) = psi(W^z0) = psi(psi_1(W*z0))	psi(W^z0)	alias3
145	(0,0)(1,1)(2,1)(3,0)(4,1)(5,1)(6,0)	phi(phi(w,0),0) = psi(W^phi(w,0))	psi(W^phi(w,0))	alias2
146	(0,0)(1,1)(2,1)(3,1)	G0 = psi(W^W) = psi(psi_1(W^2))	psi(W^W)	alias3
147	(0,0)(1,1)(2,1)(3,1)(1,1)	e(G0+1) = psi(W^W+W)	psi(W^W+W)	alias2
148	(0,0)(1,1)(2,1)(3,1)(1,1)(2,1)	z(G0+1) = psi(W^W+W^2)	psi(W^W+W^2)	alias2
149	(0,0)(1,1)(2,1)(3,1)(1,1)(2,1)(3,0)	phi(w,G0+1) = psi(W^W+W^w)	psi(W^W+W^w)	alias2
150	(0,0)(1,1)(2,1)(3,1)(1,1)(2,1)(3,0)(4,1)(5,1)(6,1)	phi(G0,1) = psi(W^W+W^G0)	psi(W^W+W^G0)	alias2
151	(0,0)(1,1)(2,1)(3,1)(1,1)(2,1)(3,0)(4,1)(5,1)(6,1)(2,1)	phi(G0+1,0) = psi(W^W+W^(G0+1))	psi(W^W+W^(G0+1))	alias2
152	(0,0)(1,1)(2,1)(3,1)(1,1)(2,1)(3,1)	G1 = psi(W^W*2)	psi(W^W*2)	alias2
153	(0,0)(1,1)(2,1)(3,1)(2,0)	Gw = psi(W^W*w) = psi(psi_1(W^2+1))	psi(W^W*w)	alias3
154	(0,0)(1,1)(2,1)(3,1)(2,0)(3,1)(4,1)(5,1)	GG0 = psi(W^W*G0) = psi(psi_1(W^2+G0))	psi(W^W*G0)	alias3
155	(0,0)(1,1)(2,1)(3,1)(2,1)	phi(1,1,0) = psi(W^(W+1)) = psi(psi_1(W^2+W))	psi(W^(W+1))	alias3
156	(0,0)(1,1)(2,1)(3,1)(2,1)(2,1)	phi(1,2,0) = psi(W^(W+2)) = psi(psi_1(W^2+W2))	psi(W^(W+2))	alias3
157	(0,0)(1,1)(2,1)(3,1)(2,1)(3,0)	phi(1,w,0) = psi(W^(W+w)) = psi(psi_1(W^2+W*w))	psi(W^(W+w))	alias3
158	(0,0)(1,1)(2,1)(3,1)(2,1)(3,1)	phi(2,0,0) = psi(W^(W2)) = psi(psi_1(W^2*2))	psi(W^(W2))	alias3
159	(0,0)(1,1)(2,1)(3,1)(3,0)	phi(w,0,0) = psi(W^(W*w)) = psi(psi_1(W^2*w))	psi(W^(W*w))	alias3
160	(0,0)(1,1)(2,1)(3,1)(3,1)	phi(1,0,0,0) = psi(W^W^2) = psi(psi_1(W^3))	psi(W^W^2)	alias3
161	(0,0)(1,1)(2,1)(3,1)(3,1)(3,1)	phi(1,0,0,0,0) = psi(W^W^3) = psi(psi_1(W^4))	psi(W^W^3)	alias3
162	(0,0)(1,1)(2,1)(3,1)(4,0)	psi(W^W^w) = psi(psi_1(W^w))	psi(W^W^w)	alias2
163	(0,0)(1,1)(2,1)(3,1)(4,0)(3,0)	psi(W^(W^w*w) = psi(psi_1(W^w+1))	psi(W^(W^w*w))	alias2,paren+1
164	(0,0)(1,1)(2,1)(3,1)(4,0)(3,1)	psi(W^W^(w+1)) = psi(psi_1(W^(w+1)))	psi(W^W^(w+1))	alias2
165	(0,0)(1,1)(2,1)(3,1)(4,0)(3,1)(4,0)	psi(W^W^(w2)) = psi(psi_1(W^(w2)))	psi(W^W^(w2))	alias2
166	(0,0)(1,1)(2,1)(3,1)(4,0)(4,0)	psi(W^W^w^2) = psi(psi_1(W^w^2))	psi(W^W^w^2)	alias2
167	(0,0)(1,1)(2,1)(3,1)(4,0)(5,0)	psi(W^W^w^w) = psi(psi_1(W^w^w))	psi(W^W^w^w)	alias2
168	(0,0)(1,1)(2,1)(3,1)(4,0)(5,1)	psi(W^W^e0) = psi(psi_1(W^e0))	psi(W^W^e0)	alias2
169	(0,0)(1,1)(2,1)(3,1)(4,1)	psi(W^W^W) = psi(psi_1(W^W))	psi(W^W^W)	alias2
170	(0,0)(1,1)(2,1)(3,1)(4,1)(3,1)	psi(W^W^(W+1)) = psi(psi_1(W^(W+1)))	psi(W^W^(W+1))	alias2
171	(0,0)(1,1)(2,1)(3,1)(4,1)(3,1)(4,0)	psi(W^W^(W+w)) = psi(psi_1(W^(W+w)))	psi(W^W^(W+w))	alias2
172	(0,0)(1,1)(2,1)(3,1)(4,1)(3,1)(4,1)	psi(W^W^(W2)) = psi(psi_1(W^(W2)))	psi(W^W^(W2))	alias2
173	(0,0)(1,1)(2,1)(3,1)(4,1)(4,0)	psi(W^W^(W*w)) = psi(psi_1(W^(W*w)))	psi(W^W^(W*w))	alias2
174	(0,0)(1,1)(2,1)(3,1)(4,1)(4,0)(5,1)	psi(W^W^(W*e0)) = psi(psi_1(w^(W*e0)))	psi(W^W^(W*e0))	alias2
175	(0,0)(1,1)(2,1)(3,1)(4,1)(4,1)	psi(W^W^W^2) = psi(psi_1(W^W^2))	psi(W^W^W^2)	alias2
176	(0,0)(1,1)(2,1)(3,1)(4,1)(5,0)	psi(W^W^W^w) = psi(psi_1(W^W^w)))	psi(W^W^W^w)	alias2,paren-1
177	(0,0)(1,1)(2,1)(3,1)(4,1)(5,0)(6,1)	psi(W^W^W^e0) = psi(psi_1(W^W^e0))	psi(W^W^W^e0)	alias2
178	(0,0)(1,1)(2,1)(3,1)(4,1)(5,1)	psi(W^W^W^W) = psi(psi_1(W^W^W))	psi(W^W^W^W)	alias2
179	(0,0)(1,1)(2,1)(3,1)(4,1)(5,1)(6,1)	psi(W^W^W^W^W) = psi(psi_1(W^W^W^W))	psi(W^W^W^W^W)	alias2
180	(0,0)(1,1)(2,2)	psi(W_2) = psi(psi_2(0)) = psi(psi_I(1))	psi(W_2)	alias3
181	(0,0)(1,1)(2,2)(1,0)	psi(W_2)*w	psi(W_2)*w	
